event_id,customer_id,timestamp_utc,amount_inr,payment_method,failure_reason,hour,weekday,customer_tenure_days,prior_successes,prior_failures,prior_recoveries,contacts_last_7_days,recent_method_failure_rate,degradation_flag,historical_action,action_delay_minutes,recovered_within_72_hours,recovered_amount_inr
40,71,2026-03-02 09:30:55.811162,840.13,net_banking,insufficient_funds,9,0,98.3,1,1,0,1,0.183,0,LINK_NOW,12,0,0.0
41,233,2026-03-02 10:22:29.549910,7986.63,credit_card,card_blocked,10,0,189.5,4,2,0,1,0.047,0,NO_CONTACT,0,0,0.0
42,710,2026-03-02 11:14:03.288658,2484.72,net_banking,temporary_network_issue,11,0,103.4,2,0,0,1,0.144,0,NO_CONTACT,0,0,0.0
43,193,2026-03-02 12:05:37.027405,3435.26,wallet,temporary_network_issue,12,0,318.6,1,3,0,2,0.174,0,LINK_AFTER_2H,109,0,0.0
44,193,2026-03-02 12:57:10.766153,9475.38,debit_card,insufficient_funds,12,0,318.6,1,3,0,1,0.136,0,HUMAN_REVIEW,40,1,8288.48
45,629,2026-03-02 13:48:44.504901,41140.78,credit_card,card_blocked,13,0,116.1,4,3,0,1,0.197,0,LINK_NEXT_MORNING,685,0,0.0
46,459,2026-03-02 14:40:18.243649,1656.13,credit_card,insufficient_funds,14,0,17.7,3,2,1,2,0.141,0,LINK_NEXT_MORNING,585,1,1432.4
47,459,2026-03-02 15:31:51.982396,5139.37,debit_card,temporary_network_issue,15,0,17.7,3,2,1,0,0.092,0,LINK_AFTER_2H,93,1,5078.4
48,233,2026-03-02 16:23:25.721144,2187.07,credit_card,insufficient_funds,16,0,189.5,4,2,0,1,0.283,0,LINK_AFTER_2H,141,0,0.0
49,192,2026-03-02 17:14:59.459892,1106.48,debit_card,bank_limit_exceeded,17,0,504.5,1,3,0,1,0.099,0,NO_CONTACT,0,0,0.0
50,233,2026-03-02 18:06:33.198640,2170.76,debit_card,bank_limit_exceeded,18,0,189.5,4,2,0,2,0.04,0,HUMAN_REVIEW,76,0,0.0
51,747,2026-03-02 18:58:06.937387,6617.13,debit_card,risk_declined,18,0,19.4,2,2,1,0,0.075,0,LINK_NOW,25,0,0.0
52,459,2026-03-02 19:49:40.676135,6361.31,net_banking,bank_limit_exceeded,19,0,17.7,3,2,1,1,0.183,0,HUMAN_REVIEW,96,0,0.0
53,233,2026-03-02 20:41:14.414883,433.05,upi,insufficient_funds,20,0,189.5,4,2,0,2,0.042,0,LINK_NEXT_MORNING,618,0,0.0
54,71,2026-03-02 21:32:48.153631,1818.88,credit_card,bank_limit_exceeded,21,0,98.3,1,1,0,1,0.362,0,LINK_AFTER_2H,141,0,0.0
55,596,2026-03-02 22:24:21.892378,19010.92,upi,insufficient_funds,22,0,7.4,2,2,0,1,0.419,1,LINK_AFTER_2H,139,0,0.0
56,233,2026-03-02 23:15:55.631126,408.56,credit_card,temporary_network_issue,23,0,189.5,4,2,0,2,0.146,1,LINK_AFTER_2H,114,0,0.0
57,233,2026-03-03 00:07:29.369874,502.79,credit_card,insufficient_funds,0,1,189.5,4,2,0,0,0.112,0,LINK_NEXT_MORNING,630,0,0.0
58,58,2026-03-03 00:59:03.108622,10017.8,net_banking,bank_limit_exceeded,0,1,17.4,3,0,1,1,0.279,1,HUMAN_REVIEW,110,0,0.0
59,637,2026-03-03 01:50:36.847369,1817.66,debit_card,card_blocked,1,1,26.0,3,2,0,0,0.112,1,HUMAN_REVIEW,91,1,1784.94
60,91,2026-03-03 02:42:10.586117,232.97,credit_card,temporary_network_issue,2,1,286.8,1,3,0,0,0.034,0,LINK_AFTER_2H,142,0,0.0
61,349,2026-03-03 03:33:44.324865,2000.41,debit_card,bank_limit_exceeded,3,1,14.1,2,0,0,1,0.337,0,LINK_AFTER_2H,120,0,0.0
62,710,2026-03-03 04:25:18.063613,1250.06,upi,card_blocked,4,1,103.4,2,0,0,3,0.157,0,LINK_AFTER_2H,103,1,1176.68
63,328,2026-03-03 05:16:51.802360,907.91,credit_card,card_blocked,5,1,120.0,2,0,0,2,0.069,0,LINK_NOW,14,0,0.0
64,349,2026-03-03 06:08:25.541108,39087.6,upi,insufficient_funds,6,1,14.1,2,0,0,1,0.139,0,HUMAN_REVIEW,47,0,0.0
65,184,2026-03-03 06:59:59.279856,293.2,net_banking,risk_declined,6,1,179.0,0,3,0,0,0.229,0,LINK_NEXT_MORNING,546,1,280.82
66,747,2026-03-03 07:51:33.018604,1141.0,credit_card,bank_limit_exceeded,7,1,19.4,2,2,1,1,0.036,0,LINK_AFTER_2H,134,1,925.11
67,521,2026-03-03 08:43:06.757351,3122.45,debit_card,bank_limit_exceeded,8,1,249.5,2,2,1,0,0.327,0,LINK_AFTER_2H,124,0,0.0
68,611,2026-03-03 09:34:40.496099,376.08,credit_card,insufficient_funds,9,1,144.9,2,0,0,2,0.303,0,LINK_NOW,28,1,301.91
69,747,2026-03-03 10:26:14.234847,10640.81,credit_card,insufficient_funds,10,1,19.4,2,2,1,2,0.24,0,LINK_NEXT_MORNING,582,0,0.0
70,710,2026-03-03 11:17:47.973595,927.16,credit_card,temporary_network_issue,11,1,103.4,2,0,0,2,0.098,0,LINK_NOW,18,0,0.0
71,125,2026-03-03 12:09:21.712342,600.11,credit_card,insufficient_funds,12,1,176.2,1,4,0,2,0.24,0,NO_CONTACT,0,0,0.0
72,205,2026-03-03 13:00:55.451090,5301.08,credit_card,insufficient_funds,13,1,181.9,2,1,0,1,0.04,0,NO_CONTACT,0,1,5017.31
73,459,2026-03-03 13:52:29.189838,5059.48,credit_card,card_blocked,13,1,17.7,3,2,1,2,0.074,0,LINK_NEXT_MORNING,630,0,0.0
74,233,2026-03-03 14:44:02.928586,2461.42,debit_card,risk_declined,14,1,189.5,4,2,0,0,0.153,0,LINK_AFTER_2H,120,0,0.0
75,233,2026-03-03 15:35:36.667333,785.98,debit_card,bank_limit_exceeded,15,1,189.5,4,2,0,0,0.078,0,LINK_NOW,27,0,0.0
76,710,2026-03-03 16:27:10.406081,1387.9,upi,insufficient_funds,16,1,103.4,2,0,0,1,0.087,0,LINK_NOW,26,1,1308.53
77,193,2026-03-03 17:18:44.144829,2594.11,credit_card,insufficient_funds,17,1,318.6,1,3,0,1,0.31,0,LINK_AFTER_2H,113,0,0.0
78,125,2026-03-03 18:10:17.883577,891.6,net_banking,insufficient_funds,18,1,176.2,1,4,0,1,0.145,0,HUMAN_REVIEW,79,1,873.35
79,233,2026-03-03 19:01:51.622324,13415.24,upi,temporary_network_issue,19,1,189.5,4,2,0,2,0.017,0,LINK_NOW,28,1,11504.47
80,233,2026-03-03 19:53:25.361072,22292.36,credit_card,temporary_network_issue,19,1,189.5,4,2,0,2,0.368,0,LINK_NEXT_MORNING,624,1,20146.15
81,125,2026-03-03 20:44:59.099820,488.78,debit_card,temporary_network_issue,20,1,176.2,1,4,0,0,0.087,0,HUMAN_REVIEW,83,0,0.0
82,173,2026-03-03 21:36:32.838568,18166.33,debit_card,bank_limit_exceeded,21,1,204.8,5,0,0,0,0.132,0,LINK_AFTER_2H,116,0,0.0
83,459,2026-03-03 22:28:06.577315,1950.05,upi,temporary_network_issue,22,1,17.7,3,2,1,2,0.14,0,NO_CONTACT,0,0,0.0
84,314,2026-03-03 23:19:40.316063,470.33,net_banking,temporary_network_issue,23,1,126.7,3,7,0,1,0.068,0,LINK_NEXT_MORNING,488,1,455.15
85,193,2026-03-04 00:11:14.054811,4485.4,debit_card,card_blocked,0,2,318.6,1,3,0,2,0.174,0,HUMAN_REVIEW,61,0,0.0
86,233,2026-03-04 01:02:47.793559,1706.15,net_banking,card_blocked,1,2,189.5,4,2,0,2,0.103,0,NO_CONTACT,0,0,0.0
87,291,2026-03-04 01:54:21.532306,4113.71,net_banking,temporary_network_issue,1,2,325.1,4,3,0,0,0.17,0,NO_CONTACT,0,1,3389.93
88,747,2026-03-04 02:45:55.271054,7522.62,debit_card,risk_declined,2,2,19.4,2,2,1,1,0.288,0,NO_CONTACT,0,0,0.0
89,594,2026-03-04 03:37:29.009802,5591.82,upi,card_blocked,3,2,29.0,3,1,0,0,0.238,0,LINK_NOW,13,0,0.0
90,91,2026-03-04 04:29:02.748550,1045.42,net_banking,risk_declined,4,2,286.8,1,3,0,3,0.093,0,LINK_AFTER_2H,111,1,841.41
91,91,2026-03-04 05:20:36.487297,20401.64,credit_card,insufficient_funds,5,2,286.8,1,3,0,2,0.227,0,NO_CONTACT,0,0,0.0
92,488,2026-03-04 06:12:10.226045,1628.4,upi,insufficient_funds,6,2,19.4,0,1,0,0,0.225,0,NO_CONTACT,0,0,0.0
93,233,2026-03-04 07:03:43.964793,6402.3,debit_card,risk_declined,7,2,189.5,4,2,0,0,0.102,0,LINK_AFTER_2H,129,0,0.0
94,459,2026-03-04 07:55:17.703541,6081.93,net_banking,temporary_network_issue,7,2,17.7,3,2,1,1,0.188,0,LINK_NEXT_MORNING,557,1,5445.05
95,177,2026-03-04 08:46:51.442288,3883.26,debit_card,card_blocked,8,2,38.1,1,1,0,0,0.054,0,HUMAN_REVIEW,81,1,3594.09
96,747,2026-03-04 09:38:25.181036,4191.81,upi,card_blocked,9,2,19.4,2,2,1,1,0.065,0,HUMAN_REVIEW,107,1,3937.53
97,796,2026-03-04 10:29:58.919784,778.43,net_banking,insufficient_funds,10,2,30.7,3,4,0,0,0.229,0,NO_CONTACT,0,0,0.0
98,233,2026-03-04 11:21:32.658532,1643.95,net_banking,temporary_network_issue,11,2,189.5,4,2,0,2,0.18,1,HUMAN_REVIEW,57,0,0.0
99,11,2026-03-04 12:13:06.397279,738.28,wallet,risk_declined,12,2,55.1,2,1,0,3,0.092,0,LINK_NOW,11,0,0.0
100,193,2026-03-04 13:04:40.136027,7691.54,debit_card,risk_declined,13,2,318.6,1,3,0,0,0.161,0,LINK_AFTER_2H,143,1,6337.89
101,233,2026-03-04 13:56:13.874775,1388.81,credit_card,card_blocked,13,2,189.5,4,2,0,1,0.178,0,NO_CONTACT,0,0,0.0
102,233,2026-03-04 14:47:47.613523,1527.75,debit_card,risk_declined,14,2,189.5,4,2,0,2,0.034,0,HUMAN_REVIEW,77,0,0.0
103,233,2026-03-04 15:39:21.352270,1299.2,debit_card,risk_declined,15,2,189.5,4,2,0,0,0.308,0,LINK_AFTER_2H,111,1,1287.72
104,233,2026-03-04 16:30:55.091018,1371.17,debit_card,card_blocked,16,2,189.5,4,2,0,3,0.09,0,LINK_AFTER_2H,129,0,0.0
105,193,2026-03-04 17:22:28.829766,2103.12,net_banking,insufficient_funds,17,2,318.6,1,3,0,0,0.17,1,NO_CONTACT,0,0,0.0
106,692,2026-03-04 18:14:02.568514,1612.86,net_banking,insufficient_funds,18,2,4.1,0,1,0,2,0.082,0,NO_CONTACT,0,0,0.0
107,354,2026-03-04 19:05:36.307261,3125.47,debit_card,temporary_network_issue,19,2,166.1,3,2,1,1,0.277,0,LINK_NEXT_MORNING,708,1,3016.43
108,459,2026-03-04 19:57:10.046009,1980.29,upi,insufficient_funds,19,2,17.7,3,2,1,1,0.034,0,LINK_AFTER_2H,124,0,0.0
109,752,2026-03-04 20:48:43.784757,499.15,net_banking,insufficient_funds,20,2,201.5,1,1,0,1,0.091,0,LINK_AFTER_2H,134,0,0.0
110,459,2026-03-04 21:40:17.523505,6405.6,upi,bank_limit_exceeded,21,2,17.7,3,2,1,1,0.137,0,LINK_NEXT_MORNING,507,1,5907.02
111,596,2026-03-04 22:31:51.262252,3500.87,upi,card_blocked,22,2,7.4,2,2,0,0,0.229,0,NO_CONTACT,0,0,0.0
112,173,2026-03-04 23:23:25.001000,6013.2,credit_card,risk_declined,23,2,204.8,5,0,0,1,0.23,0,HUMAN_REVIEW,96,1,5288.43
113,125,2026-03-05 00:14:58.739748,2638.62,net_banking,card_blocked,0,3,176.2,1,4,0,2,0.162,0,NO_CONTACT,0,0,0.0
114,459,2026-03-05 01:06:32.478496,4391.77,debit_card,temporary_network_issue,1,3,17.7,3,2,1,4,0.227,0,LINK_NOW,21,0,0.0
115,193,2026-03-05 01:58:06.217243,603.42,upi,insufficient_funds,1,3,318.6,1,3,0,3,0.194,0,LINK_NEXT_MORNING,717,1,563.91
116,193,2026-03-05 02:49:39.955991,1450.16,net_banking,bank_limit_exceeded,2,3,318.6,1,3,0,0,0.096,0,LINK_AFTER_2H,127,0,0.0
117,91,2026-03-05 03:41:13.694739,5053.77,credit_card,insufficient_funds,3,3,286.8,1,3,0,2,0.472,1,NO_CONTACT,0,0,0.0
118,83,2026-03-05 04:32:47.433487,1441.53,upi,card_blocked,4,3,208.1,4,0,0,1,0.235,0,LINK_NEXT_MORNING,660,1,1236.92
119,233,2026-03-05 05:24:21.172234,12299.77,net_banking,insufficient_funds,5,3,189.5,4,2,0,0,0.168,0,HUMAN_REVIEW,116,0,0.0
120,459,2026-03-05 06:15:54.910982,14411.93,upi,insufficient_funds,6,3,17.7,3,2,1,2,0.031,1,LINK_AFTER_2H,95,0,0.0
121,233,2026-03-05 07:07:28.649730,3476.43,credit_card,insufficient_funds,7,3,189.5,4,2,0,2,0.185,1,LINK_NOW,13,0,0.0
122,193,2026-03-05 07:59:02.388478,2701.82,upi,temporary_network_issue,7,3,318.6,1,3,0,1,0.389,0,NO_CONTACT,0,0,0.0
123,71,2026-03-05 08:50:36.127225,28949.02,net_banking,risk_declined,8,3,98.3,1,1,0,0,0.265,0,LINK_NOW,21,0,0.0
124,125,2026-03-05 09:42:09.865973,199.0,net_banking,card_blocked,9,3,176.2,1,4,0,0,0.267,0,LINK_NOW,3,0,0.0
125,193,2026-03-05 10:33:43.604721,3820.24,upi,card_blocked,10,3,318.6,1,3,0,3,0.271,0,NO_CONTACT,0,0,0.0
126,459,2026-03-05 11:25:17.343469,8530.37,net_banking,bank_limit_exceeded,11,3,17.7,3,2,1,1,0.184,0,LINK_NEXT_MORNING,691,1,7681.29
127,39,2026-03-05 12:16:51.082216,316.61,net_banking,card_blocked,12,3,374.5,3,6,0,1,0.281,0,NO_CONTACT,0,0,0.0
128,710,2026-03-05 13:08:24.820964,902.25,debit_card,risk_declined,13,3,103.4,2,0,0,1,0.146,0,LINK_AFTER_2H,140,0,0.0
129,459,2026-03-05 13:59:58.559712,7870.02,upi,temporary_network_issue,13,3,17.7,3,2,1,0,0.114,0,LINK_AFTER_2H,131,0,0.0
130,233,2026-03-05 14:51:32.298460,2082.48,net_banking,risk_declined,14,3,189.5,4,2,0,1,0.064,0,HUMAN_REVIEW,116,1,1930.71
131,233,2026-03-05 15:43:06.037207,4572.26,upi,card_blocked,15,3,189.5,4,2,0,2,0.391,0,LINK_NOW,12,0,0.0
132,193,2026-03-05 16:34:39.775955,234.76,debit_card,insufficient_funds,16,3,318.6,1,3,0,2,0.141,0,LINK_NEXT_MORNING,523,0,0.0
133,594,2026-03-05 17:26:13.514703,431.14,debit_card,insufficient_funds,17,3,29.0,3,1,0,1,0.334,0,NO_CONTACT,0,0,0.0
134,452,2026-03-05 18:17:47.253451,1369.79,credit_card,insufficient_funds,18,3,73.0,1,1,1,0,0.103,0,HUMAN_REVIEW,74,1,1339.1
135,456,2026-03-05 19:09:20.992198,11169.27,upi,temporary_network_issue,19,3,100.2,3,3,0,0,0.241,0,LINK_NEXT_MORNING,594,0,0.0
136,315,2026-03-05 20:00:54.730946,5789.77,debit_card,risk_declined,20,3,65.3,2,0,0,1,0.123,0,HUMAN_REVIEW,102,1,5043.68
137,233,2026-03-05 20:52:28.469694,792.89,debit_card,card_blocked,20,3,189.5,4,2,0,0,0.197,0,LINK_AFTER_2H,137,0,0.0
138,193,2026-03-05 21:44:02.208442,906.67,net_banking,bank_limit_exceeded,21,3,318.6,1,3,0,1,0.183,0,HUMAN_REVIEW,70,0,0.0
139,170,2026-03-05 22:35:35.947189,5212.65,debit_card,temporary_network_issue,22,3,24.1,3,3,0,1,0.144,0,NO_CONTACT,0,0,0.0
140,71,2026-03-05 23:27:09.685937,2841.2,upi,card_blocked,23,3,98.3,1,1,0,0,0.242,0,LINK_NEXT_MORNING,485,0,0.0
141,710,2026-03-06 00:18:43.424685,4056.66,debit_card,insufficient_funds,0,4,103.4,2,0,0,1,0.047,0,NO_CONTACT,0,0,0.0
142,710,2026-03-06 01:10:17.163433,1485.17,wallet,card_blocked,1,4,103.4,2,0,0,1,0.187,0,LINK_NEXT_MORNING,589,1,1227.64
143,459,2026-03-06 02:01:50.902180,1304.61,credit_card,card_blocked,2,4,17.7,3,2,1,5,0.175,1,HUMAN_REVIEW,36,0,0.0
144,753,2026-03-06 02:53:24.640928,2367.32,debit_card,risk_declined,2,4,602.1,2,0,0,2,0.145,0,NO_CONTACT,0,0,0.0
145,15,2026-03-06 03:44:58.379676,1007.77,debit_card,temporary_network_issue,3,4,156.8,1,0,0,2,0.177,0,LINK_NOW,18,0,0.0
146,459,2026-03-06 04:36:32.118424,1004.37,net_banking,card_blocked,4,4,17.7,3,2,1,0,0.133,0,LINK_NOW,2,1,937.94
147,508,2026-03-06 05:28:05.857171,285.19,credit_card,insufficient_funds,5,4,47.7,0,1,0,0,0.207,0,LINK_AFTER_2H,118,1,243.79
148,22,2026-03-06 06:19:39.595919,1332.11,debit_card,card_blocked,6,4,3.0,1,0,0,0,0.28,0,LINK_AFTER_2H,136,0,0.0
149,58,2026-03-06 07:11:13.334667,597.74,upi,risk_declined,7,4,17.4,3,0,1,0,0.116,0,NO_CONTACT,0,0,0.0
150,233,2026-03-06 08:02:47.073415,1120.71,credit_card,temporary_network_issue,8,4,189.5,4,2,0,1,0.123,0,NO_CONTACT,0,1,1012.17
151,459,2026-03-06 08:54:20.812162,2086.97,net_banking,insufficient_funds,8,4,17.7,3,2,1,1,0.257,0,LINK_NOW,11,0,0.0
152,193,2026-03-06 09:45:54.550910,6385.57,net_banking,insufficient_funds,9,4,318.6,1,3,0,0,0.566,0,LINK_AFTER_2H,122,0,0.0
153,233,2026-03-06 10:37:28.289658,1823.73,credit_card,temporary_network_issue,10,4,189.5,4,2,0,2,0.174,0,LINK_AFTER_2H,132,0,0.0
154,193,2026-03-06 11:29:02.028406,2752.48,net_banking,card_blocked,11,4,318.6,1,3,0,1,0.254,0,LINK_NEXT_MORNING,501,1,2226.38
155,233,2026-03-06 12:20:35.767153,1544.72,net_banking,insufficient_funds,12,4,189.5,4,2,0,0,0.159,0,LINK_AFTER_2H,92,1,1358.91
156,710,2026-03-06 13:12:09.505901,2976.57,debit_card,risk_declined,13,4,103.4,2,0,0,1,0.08,0,NO_CONTACT,0,0,0.0
157,459,2026-03-06 14:03:43.244649,2196.91,debit_card,temporary_network_issue,14,4,17.7,3,2,1,2,0.046,0,HUMAN_REVIEW,106,0,0.0
158,726,2026-03-06 14:55:16.983397,216.4,upi,insufficient_funds,14,4,144.0,2,1,0,0,0.182,0,LINK_NEXT_MORNING,583,0,0.0
159,193,2026-03-06 15:46:50.722144,1964.94,credit_card,risk_declined,15,4,318.6,1,3,0,1,0.189,0,LINK_NOW,12,0,0.0
160,11,2026-03-06 16:38:24.460892,2180.81,debit_card,card_blocked,16,4,55.1,2,1,0,0,0.392,0,HUMAN_REVIEW,85,1,1765.85
161,251,2026-03-06 17:29:58.199640,3512.56,net_banking,risk_declined,17,4,280.0,2,2,0,1,0.272,0,HUMAN_REVIEW,106,0,0.0
162,694,2026-03-06 18:21:31.938388,947.1,credit_card,insufficient_funds,18,4,27.8,0,3,1,0,0.428,0,LINK_NOW,11,1,858.66
163,625,2026-03-06 19:13:05.677135,1556.27,upi,insufficient_funds,19,4,11.7,1,1,0,2,0.062,0,LINK_AFTER_2H,94,0,0.0
164,169,2026-03-06 20:04:39.415883,5889.23,debit_card,insufficient_funds,20,4,194.4,2,5,0,1,0.264,0,NO_CONTACT,0,0,0.0
165,459,2026-03-06 20:56:13.154631,1002.7,debit_card,insufficient_funds,20,4,17.7,3,2,1,1,0.147,0,LINK_AFTER_2H,102,1,830.02
166,459,2026-03-06 21:47:46.893379,1212.62,net_banking,risk_declined,21,4,17.7,3,2,1,3,0.227,0,HUMAN_REVIEW,84,0,0.0
167,594,2026-03-06 22:39:20.632126,13111.58,credit_card,insufficient_funds,22,4,29.0,3,1,0,4,0.275,0,HUMAN_REVIEW,105,0,0.0
168,193,2026-03-06 23:30:54.370874,765.72,net_banking,bank_limit_exceeded,23,4,318.6,1,3,0,1,0.171,0,LINK_AFTER_2H,140,1,658.78
169,71,2026-03-07 00:22:28.109622,281.49,upi,risk_declined,0,5,98.3,1,1,0,2,0.366,0,LINK_NOW,9,0,0.0
170,193,2026-03-07 01:14:01.848370,6909.93,credit_card,card_blocked,1,5,318.6,1,3,0,0,0.306,0,LINK_NEXT_MORNING,494,1,6852.31
171,233,2026-03-07 02:05:35.587117,382.08,debit_card,bank_limit_exceeded,2,5,189.5,4,2,0,0,0.225,1,NO_CONTACT,0,1,376.76
172,83,2026-03-07 02:57:09.325865,1915.34,credit_card,insufficient_funds,2,5,208.1,4,0,0,3,0.189,0,HUMAN_REVIEW,95,0,0.0
173,71,2026-03-07 03:48:43.064613,3728.22,upi,insufficient_funds,3,5,98.3,1,1,0,2,0.207,0,LINK_AFTER_2H,127,0,0.0
174,233,2026-03-07 04:40:16.803361,6839.97,credit_card,card_blocked,4,5,189.5,4,2,0,2,0.357,0,HUMAN_REVIEW,109,0,0.0
